year,category,value,unit,scenario,figure_type
2025,Yeosu,22.409780310492522,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2026,Yeosu,22.629175078923517,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2027,Yeosu,22.30774360042675,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2028,Yeosu,21.986312121929988,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2029,Yeosu,21.664880643433225,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2030,Yeosu,19.495746369059646,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2031,Yeosu,15.78357849927849,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2032,Yeosu,15.503931677122148,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2033,Yeosu,15.224284854965806,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2034,Yeosu,14.061172938521594,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2035,Yeosu,12.959294909943505,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2036,Yeosu,12.384023158624613,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2037,Yeosu,10.010022733309611,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2038,Yeosu,9.418919789629891,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2039,Yeosu,8.674707167028163,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2040,Yeosu,7.9432153418252645,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2041,Yeosu,7.580081900028111,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2042,Yeosu,6.297189104677906,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2043,Yeosu,5.92752620502804,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2044,Yeosu,5.5605037546613865,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2045,Yeosu,5.19084085501152,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2046,Yeosu,2.945417810548142,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2047,Yeosu,2.5678781615918638,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2048,Yeosu,2.1903385126355848,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2049,Yeosu,0.3834670708548196,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2050,Yeosu,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2025,Daesan,17.217485657279862,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2026,Daesan,15.453299246766676,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2027,Daesan,15.235148152946632,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2028,Daesan,13.753975935914342,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2029,Daesan,11.885443981475655,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2030,Daesan,11.651409951193994,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2031,Daesan,11.464451731601175,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2032,Daesan,11.277493512008354,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2033,Daesan,11.090535292415534,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2034,Daesan,10.141342180152392,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2035,Daesan,9.646944901937424,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2036,Daesan,8.645131665858063,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2037,Daesan,8.254223394941599,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2038,Daesan,7.864711224992693,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2039,Daesan,5.804613158015574,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2040,Daesan,5.243412921777668,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2041,Daesan,4.181234496402065,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2042,Daesan,2.924325137806071,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2043,Daesan,2.6362088042899985,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2044,Daesan,2.350150444584756,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2045,Daesan,2.0620341110686833,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2046,Daesan,1.1627313843627936,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2047,Daesan,0.8720485382720952,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2048,Daesan,0.5813656921813968,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2049,Daesan,0.2906828460906984,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2050,Daesan,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2025,Ulsan,19.244286327143506,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2026,Ulsan,17.709084852906987,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2027,Ulsan,16.437929538378278,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2028,Ulsan,16.136721452123613,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2029,Ulsan,15.83551336586895,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2030,Ulsan,15.534305279614285,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2031,Ulsan,15.019100878901773,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2032,Ulsan,14.777296404083225,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2033,Ulsan,14.535491929264682,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2034,Ulsan,13.960304399997883,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2035,Ulsan,12.8161570120799,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2036,Ulsan,12.320159639065038,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2037,Ulsan,11.822384497688116,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2038,Ulsan,11.326387124673255,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2039,Ulsan,10.590548714705935,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2040,Ulsan,9.876178017182887,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
2041,Ulsan,9.52154399234109,MtCO2_per_yr,shaheen_ncc_h2_flat_decoupled,stacked_area
